Game_ID,Team,Opponent,Order_1,Order_2,Order_3,Order_4,Order_5,Order_6,Order_7,Order_8,Order_9
cl2025041103,広島,巨人,田村,矢野,小園,末包,野間,ファビアン,菊池,森下,会沢
cl2025041201,ヤクルト,ＤｅＮＡ,赤羽,長岡,サンタナ,オスナ,山田,増田,茂木,中村悠,ランバート
cl2025041201,ＤｅＮＡ,ヤクルト,梶原,牧,佐野,宮崎,度会,山本,筒香,森敬,ケイ
cl2025041202,中日,阪神,岡林,板山,上林,細川,ボスラー,高橋周,村松,木下,松葉
cl2025041202,阪神,中日,近本,中野,佐藤輝,森下,大山,前川,坂本,木浪,西勇
cl2025041203,巨人,広島,若林,中山,吉川,岡本,キャベッジ,甲斐,ヘルナンデス,泉口,赤星
cl2025041203,広島,巨人,田村,矢野,小園,末包,野間,ファビアン,菊池,床田,石原
cl2025041303,巨人,広島,泉口,長野,吉川,岡本,ヘルナンデス,甲斐,坂本,若林,石川
cl2025041303,広島,巨人,二俣,矢野,小園,末包,ファビアン,菊池,田村,石原,森
cl2025041501,ＤｅＮＡ,巨人,梶原,牧,佐野,宮崎,度会,山本,筒香,森敬,ジャクソン
cl2025041501,巨人,ＤｅＮＡ,泉口,甲斐,吉川,岡本,大城卓,ヘルナンデス,佐々木,若林,井上
cl2025041502,阪神,ヤクルト,近本,中野,森下,佐藤輝,大山,前川,梅野,木浪,才木
cl2025041502,ヤクルト,阪神,西川,長岡,サンタナ,オスナ,茂木,山田,中村悠,丸山和,奥川
cl2025041503,中日,広島,岡林,板山,上林,細川,ボスラー,高橋周,村松,木下,マラー
cl2025041503,広島,中日,二俣,矢野,小園,末包,ファビアン,野間,菊池,石原,ドミンゲス
cl2025041601,ＤｅＮＡ,巨人,梶原,牧,佐野,宮崎,度会,戸柱,筒香,林,バウアー
cl2025041601,巨人,ＤｅＮＡ,泉口,甲斐,吉川,岡本,大城卓,オコエ,佐々木,笹原,山崎
cl2025041602,中日,広島,岡林,樋口,上林,細川,ボスラー,高橋周,村松,石伊,柳
cl2025041602,広島,中日,二俣,矢野,小園,末包,ファビアン,田村,菊池,会沢,大瀬良
cl2025041701,ＤｅＮＡ,巨人,梶原,三森,度会,牧,佐野,山本,筒香,林,東
cl2025041701,巨人,ＤｅＮＡ,泉口,甲斐,吉川,岡本,大城卓,ヘルナンデス,若林,笹原,田中将
cl2025041702,阪神,ヤクルト,近本,中野,森下,佐藤輝,大山,前川,梅野,木浪,ビーズリー
cl2025041702,ヤクルト,阪神,西川,長岡,サンタナ,村上,オスナ,茂木,山田,松本直,吉村
cl2025041801,巨人,ヤクルト,泉口,若林,吉川,岡本,甲斐,荒巻,ヘルナンデス,岡田,赤星
cl2025041801,ヤクルト,巨人,茂木,西川,サンタナ,オスナ,長岡,山田,赤羽,中村悠,小川
cl2025041802,広島,阪神,二俣,矢野,小園,末包,野間,ファビアン,菊池,会沢,森下
cl2025041802,阪神,広島,近本,小幡,森下,佐藤輝,大山,前川,坂本,中野,村上
cl2025041901,巨人,ヤクルト,泉口,若林,吉川,岡本,甲斐,ヘルナンデス,荒巻,笹原,石川
cl2025041901,ヤクルト,巨人,赤羽,サンタナ,増田,オスナ,長岡,山田,古賀,山野,並木
cl2025041902,ＤｅＮＡ,中日,梶原,度会,佐野,牧,宮崎,山本,筒香,林,ケイ
cl2025041902,中日,ＤｅＮＡ,岡林,山本,ブライト,細川,カリステ,中田,村松,加藤匠,高橋宏
cl2025041903,広島,阪神,矢野,羽月,小園,末包,野間,ファビアン,田村,石原,床田
cl2025041903,阪神,広島,近本,中野,森下,佐藤輝,大山,前川,坂本,木浪,デュプランティエ
cl2025042001,巨人,ヤクルト,泉口,若林,吉川,岡本,甲斐,ヘルナンデス,荒巻,笹原,ケラー
cl2025042001,ヤクルト,巨人,西川,サンタナ,茂木,オスナ,長岡,山田,中村悠,ランバート,岩田
cl2025042002,ＤｅＮＡ,中日,梶原,三森,度会,牧,佐野,宮崎,松尾,林,平良
cl2025042002,中日,ＤｅＮＡ,岡林,樋口,上林,細川,高橋周,ボスラー,村松,木下,松葉
cl2025042003,広島,阪神,二俣,矢野,小園,末包,ファビアン,中村奨,菊池,石原,森
cl2025042003,阪神,広島,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,伊原
cl2025042201,中日,巨人,岡林,山本,ブライト,細川,ボスラー,中田,村松,石伊,マラー
cl2025042201,巨人,中日,泉口,若林,吉川,岡本,大城卓,甲斐,ヘルナンデス,中山,井上
cl2025042202,阪神,ＤｅＮＡ,近本,中野,森下,佐藤輝,大山,前川,梅野,小幡,才木
cl2025042202,ＤｅＮＡ,阪神,梶原,三森,佐野,牧,宮崎,度会,山本,林,バウアー
cl2025042301,中日,巨人,岡林,ボスラー,高橋周,細川,中田,板山,木下,柳,村松
cl2025042301,巨人,中日,泉口,若林,吉川,岡本,大城卓,甲斐,ヘルナンデス,佐々木,山崎
cl2025042302,阪神,ＤｅＮＡ,近本,中野,森下,佐藤輝,大山,前川,梅野,小幡,門別
cl2025042302,ＤｅＮＡ,阪神,三森,京田,佐野,牧,宮崎,山本,蝦名,梶原,ジャクソン
cl2025042303,ヤクルト,広島,西川,サンタナ,茂木,オスナ,長岡,山田,赤羽,中村悠,石川
cl2025042303,広島,ヤクルト,中村奨,矢野,小園,末包,ファビアン,堂林,菊池,会沢,大瀬良
cl2025042401,阪神,ＤｅＮＡ,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,富田
cl2025042401,ＤｅＮＡ,阪神,三森,蝦名,京田,牧,佐野,宮崎,戸柱,梶原,大貫
cl2025042501,広島,ＤｅＮＡ,中村奨,矢野,小園,末包,ファビアン,堂林,菊池,会沢,森下
cl2025042501,ＤｅＮＡ,広島,三森,蝦名,度会,牧,佐野,京田,筒香,山本,東
cl2025042502,ヤクルト,中日,西川,サンタナ,茂木,オスナ,長岡,山田,古賀,赤羽,吉村
cl2025042502,中日,ヤクルト,岡林,上林,ボスラー,細川,高橋周,板山,土田,加藤匠,高橋宏
cl2025042503,巨人,阪神,泉口,若林,吉川,岡本,大城卓,甲斐,キャベッジ,岡田,赤星
cl2025042503,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,村上
cl2025042601,広島,ＤｅＮＡ,中村奨,矢野,小園,末包,ファビアン,二俣,菊池,石原,床田
cl2025042601,ＤｅＮＡ,広島,三森,蝦名,度会,牧,佐野,京田,筒香,山本,ケイ
cl2025042602,ヤクルト,中日,内山,サンタナ,赤羽,オスナ,長岡,山田,古賀,増田,奥川
cl2025042602,中日,ヤクルト,岡林,山本,上林,細川,カリステ,ボスラー,土田,木下,松葉
cl2025042603,巨人,阪神,泉口,若林,吉川,岡本,甲斐,キャベッジ,佐々木,門脇,石川
cl2025042603,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,デュプランティエ
cl2025042701,広島,ＤｅＮＡ,田村,羽月,小園,末包,ファビアン,矢野,林,石原,玉村
cl2025042701,ＤｅＮＡ,広島,三森,蝦名,度会,牧,宮崎,佐野,松尾,石上,バウアー
cl2025042702,ヤクルト,中日,西川,サンタナ,茂木,オスナ,赤羽,山田,中村悠,小川,武岡
cl2025042702,中日,ヤクルト,岡林,山本,上林,細川,ボスラー,中田,土田,木下,メヒア
cl2025042703,巨人,阪神,泉口,若林,吉川,岡本,甲斐,キャベッジ,萩尾,門脇,堀田
cl2025042703,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,伊原
cl2025042901,広島,巨人,中村奨,二俣,小園,末包,ファビアン,菊池,田村,石原,森
cl2025042901,巨人,広島,泉口,若林,吉川,岡本,大城卓,甲斐,キャベッジ,中山,井上
cl2025042902,ＤｅＮＡ,ヤクルト,三森,蝦名,度会,牧,筒香,宮崎,石上,山本,ジャクソン
cl2025042902,ヤクルト,ＤｅＮＡ,西川,サンタナ,茂木,オスナ,赤羽,山田,中村悠,ランバート,武岡
cl2025042903,阪神,中日,近本,中野,森下,佐藤輝,大山,前川,梅野,小幡,才木
cl2025042903,中日,阪神,岡林,板山,上林,ボスラー,中田,細川,土田,木下,涌井
cl2025043001,広島,巨人,田村,矢野,小園,末包,野間,ファビアン,菊池,会沢,大瀬良
cl2025043001,巨人,広島,泉口,若林,吉川,岡本,キャベッジ,甲斐,増田陸,萩尾,山崎
cl2025043002,ＤｅＮＡ,ヤクルト,三森,蝦名,度会,牧,佐野,宮崎,石上,山本,吉野
cl2025043002,ヤクルト,ＤｅＮＡ,西川,サンタナ,茂木,オスナ,赤羽,古賀,山田,山野,武岡
cl2025043003,阪神,中日,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,門別
cl2025043003,中日,阪神,岡林,板山,上林,ボスラー,中田,細川,土田,木下,大野
cl2025050101,広島,巨人,小園,矢野,野間,末包,坂倉,ファビアン,菊池,田村,ドミンゲス
cl2025050101,巨人,広島,泉口,キャベッジ,吉川,岡本,甲斐,増田陸,佐々木,萩尾,田中将
cl2025050102,ＤｅＮＡ,ヤクルト,三森,蝦名,度会,牧,佐野,梶原,石上,山本,平良
cl2025050102,ヤクルト,ＤｅＮＡ,西川,サンタナ,茂木,オスナ,赤羽,古賀,山田,高梨,武岡
cl2025050103,阪神,中日,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,大竹
cl2025050103,中日,阪神,岡林,山本,上林,カリステ,高橋周,細川,木下,土田,三浦
cl2025050202,ヤクルト,阪神,西川,サンタナ,茂木,オスナ,赤羽,古賀,山田,武岡,吉村
cl2025050202,阪神,ヤクルト,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,村上
cl2025050203,中日,広島,岡林,山本,上林,ボスラー,カリステ,細川,木下,土田,高橋宏
cl2025050203,広島,中日,小園,羽月,野間,末包,坂倉,ファビアン,堂林,矢野,森下
cl2025050301,巨人,ＤｅＮＡ,泉口,キャベッジ,吉川,岡本,甲斐,増田陸,中山,萩尾,赤星
cl2025050301,ＤｅＮＡ,巨人,三森,蝦名,度会,牧,佐野,松尾,梶原,石上,バウアー
cl2025050302,ヤクルト,阪神,岩田,西川,サンタナ,茂木,オスナ,赤羽,武岡,中村悠,奥川
cl2025050302,阪神,ヤクルト,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,デュプランティエ
cl2025050303,中日,広島,岡林,山本,上林,ボスラー,カリステ,中田,木下,土田,松葉
cl2025050303,広島,中日,中村奨,菊池,小園,末包,坂倉,ファビアン,堂林,矢野,床田
cl2025050401,巨人,ＤｅＮＡ,泉口,ヘルナンデス,吉川,岡本,キャベッジ,岸田,増田陸,秋広,グリフィン
cl2025050401,ＤｅＮＡ,巨人,勝又,蝦名,度会,牧,佐野,京田,山本,石上,東
cl2025050402,ヤクルト,阪神,内山,赤羽,サンタナ,山田,オスナ,茂木,古賀,岩田,石川
cl2025050402,阪神,ヤクルト,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,伊原
cl2025050403,中日,広島,岡林,山本,上林,ボスラー,カリステ,細川,木下,土田,岡田
cl2025050403,広島,中日,中村奨,菊池,ファビアン,末包,坂倉,堂林,山足,矢野,玉村
cl2025050501,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,坂本,小幡,富田
cl2025050501,巨人,阪神,泉口,若林,吉川,岡本,キャベッジ,増田陸,大城卓,ヘルナンデス,戸郷
cl2025050502,広島,ヤクルト,野間,羽月,ファビアン,末包,坂倉,小園,田村,矢野,高橋
cl2025050502,ヤクルト,広島,岩田,内山,サンタナ,山田,オスナ,赤羽,中村悠,武岡,小川
cl2025050503,ＤｅＮＡ,中日,桑原,牧,度会,オースティン,蝦名,三森,山本,林,ケイ
cl2025050503,中日,ＤｅＮＡ,岡林,山本,上林,カリステ,中田,細川,木下,ロドリゲス,金丸
cl2025050601,阪神,巨人,近本,中野,森下,佐藤輝,大山,小幡,中川,梅野,才木
cl2025050601,巨人,阪神,泉口,若林,吉川,岡本,甲斐,キャベッジ,長野,浦田,井上
cl2025050603,ＤｅＮＡ,中日,桑原,牧,度会,オースティン,佐野,三森,石上,山本,ジャクソン
cl2025050603,中日,ＤｅＮＡ,岡林,田中,上林,カリステ,高橋周,鵜飼,板山,木下,涌井
cl2025050701,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,梅野,小幡,門別
cl2025050701,巨人,阪神,泉口,キャベッジ,若林,吉川,甲斐,ヘルナンデス,坂本,増田陸,山崎
cl2025050702,広島,ヤクルト,中村奨,菊池,ファビアン,末包,坂倉,小園,二俣,矢野,大瀬良
cl2025050702,ヤクルト,広島,西川,赤羽,サンタナ,茂木,オスナ,古賀,山田,岩田,山野
cl2025050703,ＤｅＮＡ,中日,桑原,牧,度会,オースティン,佐野,三森,戸柱,石上,大貫
cl2025050703,中日,ＤｅＮＡ,岡林,山本,上林,ボスラー,中田,鵜飼,木下,土田,大野
cl2025050901,巨人,ヤクルト,泉口,キャベッジ,若林,吉川,甲斐,ヘルナンデス,坂本,増田陸,赤星
cl2025050901,ヤクルト,巨人,岩田,サンタナ,茂木,内山,オスナ,古賀,赤羽,武岡,高梨
cl2025050902,広島,ＤｅＮＡ,中村奨,菊池,ファビアン,末包,坂倉,小園,矢野,田村,森下
cl2025050902,ＤｅＮＡ,広島,桑原,牧,度会,オースティン,佐野,三森,松尾,京田,バウアー
cl2025051001,巨人,ヤクルト,泉口,若林,吉川,キャベッジ,岸田,増田陸,坂本,浅野,グリフィン
cl2025051001,ヤクルト,巨人,岩田,赤羽,サンタナ,内山,オスナ,茂木,古賀,伊藤,ランバート
cl2025051002,広島,ＤｅＮＡ,中村奨,菊池,ファビアン,末包,坂倉,小園,堂林,矢野,床田
cl2025051002,ＤｅＮＡ,広島,桑原,牧,度会,オースティン,佐野,山本,京田,林,平良
cl2025051003,中日,阪神,岡林,田中,上林,ボスラー,高橋周,鵜飼,木下,土田,高橋宏
cl2025051003,阪神,中日,近本,中野,森下,佐藤輝,大山,小幡,坂本,前川,村上
cl2025051101,巨人,ヤクルト,泉口,若林,吉川,キャベッジ,甲斐,増田陸,坂本,浅野,堀田
cl2025051101,ヤクルト,巨人,岩田,サンタナ,茂木,内山,オスナ,山田,武岡,中村悠,吉村
cl2025051102,広島,ＤｅＮＡ,中村奨,菊池,ファビアン,末包,坂倉,小園,堂林,山足,玉村
cl2025051102,ＤｅＮＡ,広島,桑原,牧,度会,オースティン,佐野,山本,三森,林,東
cl2025051103,中日,阪神,岡林,カリステ,上林,中田,高橋周,田中,木下,土田,松葉
cl2025051103,阪神,中日,近本,中野,森下,佐藤輝,大山,中川,小幡,坂本,伊原
cl2025051301,阪神,ＤｅＮＡ,近本,中野,森下,佐藤輝,大山,高寺,梅野,中川,才木
cl2025051301,ＤｅＮＡ,阪神,桑原,牧,度会,オースティン,佐野,三森,山本,林,ケイ
cl2025051302,ヤクルト,中日,岩田,サンタナ,茂木,オスナ,内山,山田,北村拓,中村悠,小川
cl2025051302,中日,ヤクルト,岡林,鵜飼,上林,ボスラー,カリステ,田中,宇佐見,山本,三浦
cl2025051303,巨人,広島,泉口,若林,吉川,大城卓,増田陸,キャベッジ,リチャード,浅野,戸郷
cl2025051303,広島,巨人,中村奨,菊池,ファビアン,末包,坂倉,小園,モンテロ,矢野,森
cl2025051401,ヤクルト,中日,岩田,北村拓,茂木,サンタナ,オスナ,赤羽,西川,古賀,アビラ
cl2025051401,中日,ヤクルト,岡林,鵜飼,上林,ボスラー,カリステ,田中,宇佐見,山本,涌井
cl2025051402,巨人,広島,泉口,増田陸,吉川,キャベッジ,リチャード,若林,甲斐,浅野,井上
cl2025051402,広島,巨人,中村奨,菊池,ファビアン,末包,坂倉,小園,モンテロ,矢野,大瀬良
cl2025051501,阪神,ＤｅＮＡ,近本,中野,森下,佐藤輝,大山,高寺,木浪,坂本,デュプランティエ
cl2025051501,ＤｅＮＡ,阪神,桑原,牧,度会,オースティン,佐野,三森,山本,林,ジャクソン
cl2025051502,巨人,広島,泉口,ヘルナンデス,吉川,キャベッジ,リチャード,増田陸,甲斐,浅野,山崎
cl2025051502,広島,巨人,中村奨,菊池,ファビアン,末包,坂倉,小園,モンテロ,矢野,ドミンゲス
cl2025051601,中日,巨人,岡林,鵜飼,上林,カリステ,ボスラー,田中,木下,山本,金丸
cl2025051601,巨人,中日,浅野,泉口,吉川,キャベッジ,増田陸,リチャード,ヘルナンデス,甲斐,赤星
cl2025051602,ＤｅＮＡ,ヤクルト,桑原,牧,度会,オースティン,松尾,佐野,宮崎,林,バウアー
cl2025051602,ヤクルト,ＤｅＮＡ,岩田,武岡,サンタナ,オスナ,内山,北村拓,山田,古賀,山野
cl2025051603,広島,阪神,秋山,菊池,ファビアン,末包,坂倉,小園,モンテロ,矢野,森下
cl2025051603,阪神,広島,近本,中野,森下,佐藤輝,大山,前川,坂本,木浪,村上
cl2025051701,中日,巨人,岡林,田中,上林,カリステ,ブライト,山本,ボスラー,木下,高橋宏
cl2025051701,巨人,中日,浅野,泉口,吉川,キャベッジ,増田陸,中山,ヘルナンデス,岸田,グリフィン
cl2025051702,ＤｅＮＡ,ヤクルト,桑原,牧,度会,オースティン,松尾,佐野,宮崎,林,平良
cl2025051702,ヤクルト,ＤｅＮＡ,岩田,サンタナ,茂木,オスナ,内山,北村拓,山田,中村悠,高梨
cl2025051703,広島,阪神,中村奨,菊池,ファビアン,末包,坂倉,小園,モンテロ,矢野,床田
cl2025051703,阪神,広島,近本,中野,森下,佐藤輝,大山,前川,坂本,木浪,大竹
cl2025051801,中日,巨人,岡林,田中,上林,ボスラー,カリステ,高橋周,山本,木下,松葉
cl2025051801,巨人,中日,若林,泉口,吉川,キャベッジ,増田陸,中山,ヘルナンデス,甲斐,堀田
cl2025051802,ＤｅＮＡ,ヤクルト,桑原,牧,度会,オースティン,佐野,宮崎,林,山本,東
cl2025051802,ヤクルト,ＤｅＮＡ,岩田,サンタナ,茂木,オスナ,内山,北村拓,山田,中村悠,石川
cl2025051803,広島,阪神,中村奨,菊池,ファビアン,末包,坂倉,モンテロ,小園,矢野,玉村
cl2025051803,阪神,広島,近本,中野,森下,佐藤輝,大山,高寺,坂本,木浪,伊原
cl2025052001,中日,ＤｅＮＡ,岡林,田中,上林,カリステ,木下,ボスラー,山本,鵜飼,大野
cl2025052001,ＤｅＮＡ,中日,桑原,牧,度会,オースティン,佐野,宮崎,山本,石上,ケイ
cl2025052002,巨人,阪神,泉口,若林,吉川,キャベッジ,ヘルナンデス,中山,リチャード,岸田,戸郷
cl2025052002,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,梅野,木浪,才木
cl2025052003,ヤクルト,広島,岩田,北村拓,サンタナ,茂木,オスナ,増田,山田,中村悠,ランバート
cl2025052003,広島,ヤクルト,秋山,小園,ファビアン,末包,坂倉,モンテロ,佐々木,矢野,森
cl2025052101,中日,ＤｅＮＡ,岡林,田中,上林,ボスラー,カリステ,板山,山本,宇佐見,三浦
cl2025052101,ＤｅＮＡ,中日,桑原,牧,佐野,オースティン,松尾,宮崎,度会,石上,バウアー
cl2025052102,巨人,阪神,増田陸,門脇,吉川,キャベッジ,ヘルナンデス,中山,甲斐,浅野,井上
cl2025052102,阪神,巨人,近本,中野,森下,佐藤輝,大山,前川,梅野,木浪,ビーズリー
cl2025052201,中日,ＤｅＮＡ,岡林,田中,上林,ボスラー,カリステ,板山,山本,宇佐見,マラー
cl2025052201,ＤｅＮＡ,中日,桑原,牧,佐野,オースティン,松尾,蝦名,京田,三森,石田裕
cl2025052202,巨人,阪神,増田陸,門脇,吉川,キャベッジ,甲斐,中山,泉口,浅野,山崎
cl2025052202,阪神,巨人,近本,中野,森下,佐藤輝,大山,高寺,坂本,島田,デュプランティエ
cl2025052203,ヤクルト,広島,岩田,北村拓,サンタナ,宮本,オスナ,茂木,山田,中村悠,小川
cl2025052203,広島,ヤクルト,秋山,菊池,ファビアン,末包,坂倉,モンテロ,佐々木,矢野,大瀬良
cl2025052301,ヤクルト,巨人,岩田,北村拓,サンタナ,宮本,オスナ,茂木,山田,古賀,山野
cl2025052301,巨人,ヤクルト,増田陸,門脇,吉川,キャベッジ,甲斐,ヘルナンデス,泉口,浅野,赤星
